app, funky-bin, bitstream, etc, orig-bin
array_partition, 34325520, 31018377, 31018377, 944576
axi_burst_performance, 69446744, 65986562, 65986562, 1287824
bind_op_storage, 34406168, 31117638, 31117638, 903776
burst_rw, 34260856, 30972721, 30972721, 916976
critical_path, 38742688, 31396906, 35271550, 1313096
custom_datatype, 34023976, 30541627, 30554053, 1313664
dataflow_stream, 33961528, 30672912, 30672912, 899432
dataflow_stream_array, 34079352, 30791019, 30791019, 899576
dependence_inter, 34144120, 30855384, 30855384, 904544
kernel_chain, 35086080, 31754473, 31754473, 1002056
lmem_2rw, 34275096, 30986598, 30986598, 899528
loop_pipeline, 34469624, 31165033, 31165033, 937464
loop_reorder, 35585088, 32296230, 32296230, 900048
partition_cyclicblock, 35274400, 31968521, 31968521, 936360
port_width_widening, 36229536, 32920479, 32920479, 955968
shift_register, 34610336, 31305706, 31305706, 954024
simple_vadd, 34136504, 30880682, 30880682, 667632
systolic_array, 36885760, 33596755, 33596755, 900176
wide_mem_rw, 34910936, 31427453, 31427453, 900000
app, funky-bin, bitstream, etc, orig-bin
3d-rendering, 34749896, 30993819, 30993819, 1477408
digit-recognition, 37912960, 34072866, 34072866, 1050192
optical-flow, 63445688, 32887212, 60084102, 1017056
spam-filter, 119658912, 32151677, 116235533, 1671568
