application, platform, input_size, computation_time
sha3, cpu, 4194304, 73854419
sha3, cpu, 4194304, 73222506
sha3, cpu, 4194304, 73385945
sha3, cpu, 4194304, 73759574
sha3, cpu, 4194304, 73770175
sha3, cpu, 4194304, 73821387
sha3, cpu, 4194304, 73637049
sha3, cpu, 4194304, 73214552
sha3, cpu, 4194304, 73809403
sha3, cpu, 4194304, 78905025
sha3, cpu, 4194304, 73689652
sha3, cpu, 4194304, 73227098
sha3, cpu, 4194304, 73239706
sha3, cpu, 4194304, 73276101
sha3, cpu, 4194304, 73785608
sha3, cpu, 4194304, 73803005
sha3, cpu, 4194304, 73762422
sha3, cpu, 4194304, 73826321
sha3, cpu, 4194304, 73436987
sha3, cpu, 4194304, 73246348
sha3, cpu, 4194304, 73819917
sha3, cpu, 4194304, 73282448
sha3, cpu, 4194304, 73192946
sha3, cpu, 4194304, 73198782
sha3, cpu, 4194304, 73695378
sha3, cpu, 4194304, 73644251
sha3, cpu, 4194304, 73766769
sha3, cpu, 4194304, 73258663
sha3, cpu, 4194304, 73249969
sha3, cpu, 4194304, 73294632
hyperloglog, cpu, 2097152, 88745769
hyperloglog, cpu, 2097152, 87981644
hyperloglog, cpu, 2097152, 88015241
hyperloglog, cpu, 2097152, 88959693
hyperloglog, cpu, 2097152, 87654904
hyperloglog, cpu, 2097152, 87961712
hyperloglog, cpu, 2097152, 88203826
hyperloglog, cpu, 2097152, 88965388
hyperloglog, cpu, 2097152, 84421129
hyperloglog, cpu, 2097152, 88055717
hyperloglog, cpu, 2097152, 87815001
hyperloglog, cpu, 2097152, 88003388
hyperloglog, cpu, 2097152, 87666006
hyperloglog, cpu, 2097152, 88782113
hyperloglog, cpu, 2097152, 88016747
hyperloglog, cpu, 2097152, 89245162
hyperloglog, cpu, 2097152, 87998615
hyperloglog, cpu, 2097152, 87931987
hyperloglog, cpu, 2097152, 88098185
hyperloglog, cpu, 2097152, 88146147
hyperloglog, cpu, 2097152, 87542898
hyperloglog, cpu, 2097152, 88195404
hyperloglog, cpu, 2097152, 88071444
hyperloglog, cpu, 2097152, 88015555
hyperloglog, cpu, 2097152, 87537590
hyperloglog, cpu, 2097152, 89055838
hyperloglog, cpu, 2097152, 87688160
hyperloglog, cpu, 2097152, 87922012
hyperloglog, cpu, 2097152, 56240927
hyperloglog, cpu, 2097152, 88744130
corner, cpu, 2073600, 124586943
corner, cpu, 2073600, 124540697
corner, cpu, 2073600, 124379779
corner, cpu, 2073600, 123166297
corner, cpu, 2073600, 124378828
corner, cpu, 2073600, 124454038
corner, cpu, 2073600, 124209838
corner, cpu, 2073600, 124015371
corner, cpu, 2073600, 124389250
corner, cpu, 2073600, 124583920
corner, cpu, 2073600, 124470884
corner, cpu, 2073600, 125477562
corner, cpu, 2073600, 124691046
corner, cpu, 2073600, 124938164
corner, cpu, 2073600, 123900472
corner, cpu, 2073600, 124363885
corner, cpu, 2073600, 124722738
corner, cpu, 2073600, 124509722
corner, cpu, 2073600, 124005627
corner, cpu, 2073600, 124998567
corner, cpu, 2073600, 124626354
corner, cpu, 2073600, 123761915
corner, cpu, 2073600, 124166177
corner, cpu, 2073600, 125463915
corner, cpu, 2073600, 124405997
corner, cpu, 2073600, 124575383
corner, cpu, 2073600, 124916230
corner, cpu, 2073600, 124951437
corner, cpu, 2073600, 124823127
corner, cpu, 2073600, 125307440
nw, cpu, 2048, 102234609
nw, cpu, 2048, 102186960
nw, cpu, 2048, 102178093
nw, cpu, 2048, 102181990
nw, cpu, 2048, 102247278
