application,scenario,runtime_ns
gzip-fpga+aes128ecb-fpga,pipe,50409903
gzip-fpga+aes128ecb-fpga,functiondirector,63305841
gzip-fpga+aes128ecb-fpga,combined,36020412
gzip-fpga+aes128ecb-fpga,pipe,51022880
gzip-fpga+aes128ecb-fpga,functiondirector,57271559
gzip-fpga+aes128ecb-fpga,combined,35942891
gzip-fpga+aes128ecb-fpga,pipe,48823171
gzip-fpga+aes128ecb-fpga,functiondirector,61748062
gzip-fpga+aes128ecb-fpga,combined,35973494
gzip-fpga+aes128ecb-fpga,pipe,53224520
gzip-fpga+aes128ecb-fpga,functiondirector,57772610
gzip-fpga+aes128ecb-fpga,combined,36592640
gzip-fpga+aes128ecb-fpga,pipe,44083795
gzip-fpga+aes128ecb-fpga,functiondirector,53524837
gzip-fpga+aes128ecb-fpga,combined,36844759
gzip-fpga+aes128ecb-fpga,pipe,45721983
gzip-fpga+aes128ecb-fpga,functiondirector,51082269
gzip-fpga+aes128ecb-fpga,combined,36985331
gzip-fpga+aes128ecb-fpga,pipe,43753226
gzip-fpga+aes128ecb-fpga,functiondirector,54782799
gzip-fpga+aes128ecb-fpga,combined,35807858
gzip-fpga+aes128ecb-fpga,pipe,47540792
gzip-fpga+aes128ecb-fpga,functiondirector,59164261
gzip-fpga+aes128ecb-fpga,combined,35962579
gzip-fpga+aes128ecb-fpga,pipe,52865491
gzip-fpga+aes128ecb-fpga,functiondirector,55487988
gzip-fpga+aes128ecb-fpga,combined,35851326
gzip-fpga+aes128ecb-fpga,pipe,42565439
gzip-fpga+aes128ecb-fpga,functiondirector,50755432
gzip-fpga+aes128ecb-fpga,combined,36759405
gzip-fpga+aes128ecb-fpga,pipe,43220381
gzip-fpga+aes128ecb-fpga,functiondirector,50385482
gzip-fpga+aes128ecb-fpga,combined,35598126
gzip-fpga+aes128ecb-fpga,pipe,41011646
gzip-fpga+aes128ecb-fpga,functiondirector,49006199
gzip-fpga+aes128ecb-fpga,combined,35137421
gzip-fpga+aes128ecb-fpga,pipe,40443980
gzip-fpga+aes128ecb-fpga,functiondirector,50078931
gzip-fpga+aes128ecb-fpga,combined,35178696
gzip-fpga+aes128ecb-fpga,pipe,41366752
gzip-fpga+aes128ecb-fpga,functiondirector,47665768
gzip-fpga+aes128ecb-fpga,combined,30786957
gzip-fpga+aes128ecb-fpga,pipe,48674712
gzip-fpga+aes128ecb-fpga,functiondirector,62919849
gzip-fpga+aes128ecb-fpga,combined,26270534
gzip-fpga+aes128ecb-fpga,pipe,53433439
gzip-fpga+aes128ecb-fpga,functiondirector,65188984
gzip-fpga+aes128ecb-fpga,combined,27477186
gzip-fpga+aes128ecb-fpga,pipe,55400076
gzip-fpga+aes128ecb-fpga,functiondirector,64904524
gzip-fpga+aes128ecb-fpga,combined,27457449
gzip-fpga+aes128ecb-fpga,pipe,52821348
gzip-fpga+aes128ecb-fpga,functiondirector,60029928
gzip-fpga+aes128ecb-fpga,combined,30534735
gzip-fpga+aes128ecb-fpga,pipe,51318504
gzip-fpga+aes128ecb-fpga,functiondirector,66619609
gzip-fpga+aes128ecb-fpga,combined,33425195
gzip-fpga+aes128ecb-fpga,pipe,54865919
gzip-fpga+aes128ecb-fpga,functiondirector,65321950
gzip-fpga+aes128ecb-fpga,combined,33942409
gzip-fpga+aes128ecb-fpga,pipe,52429793
gzip-fpga+aes128ecb-fpga,functiondirector,65327790
gzip-fpga+aes128ecb-fpga,combined,34061655
gzip-fpga+aes128ecb-fpga,pipe,53399954
gzip-fpga+aes128ecb-fpga,functiondirector,56246504
gzip-fpga+aes128ecb-fpga,combined,33545636
gzip-fpga+aes128ecb-fpga,pipe,59938251
gzip-fpga+aes128ecb-fpga,functiondirector,62270729
gzip-fpga+aes128ecb-fpga,combined,34115089
gzip-fpga+aes128ecb-fpga,pipe,52598104
gzip-fpga+aes128ecb-fpga,functiondirector,63564484
gzip-fpga+aes128ecb-fpga,combined,45243027
gzip-fpga+aes128ecb-fpga,pipe,53433077
gzip-fpga+aes128ecb-fpga,functiondirector,65903909
gzip-fpga+aes128ecb-fpga,combined,35588906
gzip-fpga+aes128ecb-fpga,pipe,44603718
gzip-fpga+aes128ecb-fpga,functiondirector,54977243
gzip-fpga+aes128ecb-fpga,combined,33822032
gzip-fpga+aes128ecb-fpga,pipe,44820207
gzip-fpga+aes128ecb-fpga,functiondirector,55661952
gzip-fpga+aes128ecb-fpga,combined,33829456
gzip-fpga+aes128ecb-fpga,pipe,46017919
gzip-fpga+aes128ecb-fpga,functiondirector,55515836
gzip-fpga+aes128ecb-fpga,combined,33531394
gzip-fpga+aes128ecb-fpga,pipe,42803894
gzip-fpga+aes128ecb-fpga,functiondirector,55066232
gzip-fpga+aes128ecb-fpga,combined,34543451
gzip-fpga+aes128ecb-fpga,pipe,44511083
gzip-fpga+aes128ecb-fpga,functiondirector,56550410
gzip-fpga+aes128ecb-fpga,combined,33685793
