application,regions,batch,runtime_ns
sha256-fpga,2,1,324152447
sha256-fpga,2,1,428691156
sha256-fpga,2,1,47647549
sha256-fpga,2,1,498270982
sha256-fpga,2,1,253564441
sha256-fpga,2,1,77764182
sha256-fpga,2,1,114161426
sha256-fpga,2,1,182260320
sha256-fpga,2,1,526965561
sha256-fpga,2,1,148870464
sha256-fpga,2,1,44133945
sha256-fpga,2,1,216283979
sha256-fpga,2,1,215954153
sha256-fpga,2,1,79614164
sha256-fpga,2,1,249483749
sha256-fpga,2,1,112397030
sha256-fpga,2,1,147183192
sha256-fpga,2,1,284173268
sha256-fpga,2,1,283653064
sha256-fpga,2,1,317840512
sha256-fpga,2,1,181925432
sha256-fpga,2,1,455861482
sha256-fpga,2,1,522553637
sha256-fpga,2,1,352175356
sha256-fpga,2,1,386937646
sha256-fpga,2,1,421118480
sha256-fpga,2,1,455526436
sha256-fpga,2,1,351782863
sha256-fpga,2,1,490108149
sha256-fpga,2,1,385889521
sha256-fpga,2,2,41125378
sha256-fpga,2,2,40774478
sha256-fpga,2,2,68476010
sha256-fpga,2,2,104182835
sha256-fpga,2,2,69196450
sha256-fpga,2,2,348089320
sha256-fpga,2,2,137930402
sha256-fpga,2,2,103635626
sha256-fpga,2,2,137837022
sha256-fpga,2,2,172149472
sha256-fpga,2,2,172458935
sha256-fpga,2,2,313043390
sha256-fpga,2,2,448762218
sha256-fpga,2,2,346844375
sha256-fpga,2,2,276696749
sha256-fpga,2,2,206552955
sha256-fpga,2,2,241043886
sha256-fpga,2,2,206569692
sha256-fpga,2,2,275392221
sha256-fpga,2,2,479795097
sha256-fpga,2,2,239872137
sha256-fpga,2,2,376876677
sha256-fpga,2,2,376102072
sha256-fpga,2,2,307230904
sha256-fpga,2,2,410131143
sha256-fpga,2,2,445358015
sha256-fpga,2,2,511036020
sha256-fpga,2,2,409991896
sha256-fpga,2,2,510754244
sha256-fpga,2,2,478508349
sha256-fpga,2,3,174650619
sha256-fpga,2,3,139916607
sha256-fpga,2,3,208534198
sha256-fpga,2,3,243085561
sha256-fpga,2,3,110669845
sha256-fpga,2,3,180253663
sha256-fpga,2,3,40109916
sha256-fpga,2,3,44291649
sha256-fpga,2,3,144957019
sha256-fpga,2,3,277410653
sha256-fpga,2,3,248308138
sha256-fpga,2,3,72416624
sha256-fpga,2,3,105848543
sha256-fpga,2,3,214692613
sha256-fpga,2,3,76411086
sha256-fpga,2,3,488806834
sha256-fpga,2,3,307906611
sha256-fpga,2,3,342650399
sha256-fpga,2,3,280124751
sha256-fpga,2,3,384662810
sha256-fpga,2,3,410496623
sha256-fpga,2,3,315091322
sha256-fpga,2,3,375830065
sha256-fpga,2,3,444123756
sha256-fpga,2,3,452665599
sha256-fpga,2,3,348794955
sha256-fpga,2,3,477787992
sha256-fpga,2,3,512379424
sha256-fpga,2,3,416321475
sha256-fpga,2,3,516892226
sha256-fpga,2,4,252243475
sha256-fpga,2,4,113006434
sha256-fpga,2,4,181275618
sha256-fpga,2,4,181874843
sha256-fpga,2,4,216673398
sha256-fpga,2,4,215455512
sha256-fpga,2,4,283780300
sha256-fpga,2,4,44861581
sha256-fpga,2,4,45265495
sha256-fpga,2,4,285248419
sha256-fpga,2,4,78083718
sha256-fpga,2,4,78499331
sha256-fpga,2,4,316810909
sha256-fpga,2,4,112489837
sha256-fpga,2,4,146438643
sha256-fpga,2,4,146896549
sha256-fpga,2,4,450649582
sha256-fpga,2,4,348926178
sha256-fpga,2,4,453492789
sha256-fpga,2,4,350633971
sha256-fpga,2,4,249612574
sha256-fpga,2,4,416912360
sha256-fpga,2,4,482102534
sha256-fpga,2,4,315670147
sha256-fpga,2,4,381287225
sha256-fpga,2,4,384089300
sha256-fpga,2,4,516503369
sha256-fpga,2,4,415237786
sha256-fpga,2,4,520728507
sha256-fpga,2,4,484763322
sha256-fpga,2,5,497770422
sha256-fpga,2,5,462858724
sha256-fpga,2,5,531474774
sha256-fpga,2,5,146725758
sha256-fpga,2,5,181637020
sha256-fpga,2,5,528782839
sha256-fpga,2,5,112109541
sha256-fpga,2,5,182175417
sha256-fpga,2,5,44805622
sha256-fpga,2,5,45006925
sha256-fpga,2,5,216246650
sha256-fpga,2,5,219961017
sha256-fpga,2,5,149289177
sha256-fpga,2,5,78364820
sha256-fpga,2,5,249512449
sha256-fpga,2,5,78469378
sha256-fpga,2,5,249832158
sha256-fpga,2,5,112338083
sha256-fpga,2,5,284634006
sha256-fpga,2,5,389885200
sha256-fpga,2,5,353198234
sha256-fpga,2,5,283420065
sha256-fpga,2,5,318936429
sha256-fpga,2,5,353155485
sha256-fpga,2,5,421569201
sha256-fpga,2,5,387780408
sha256-fpga,2,5,456126306
sha256-fpga,2,5,422671444
sha256-fpga,2,5,317578679
sha256-fpga,2,5,488847605
sha256-fpga,2,6,41784734
sha256-fpga,2,6,455603507
sha256-fpga,2,6,41379575
sha256-fpga,2,6,486069174
sha256-fpga,2,6,489820738
sha256-fpga,2,6,520454501
sha256-fpga,2,6,75192815
sha256-fpga,2,6,103992224
sha256-fpga,2,6,105109137
sha256-fpga,2,6,72915712
sha256-fpga,2,6,137909204
sha256-fpga,2,6,172915369
sha256-fpga,2,6,206955979
sha256-fpga,2,6,241758035
sha256-fpga,2,6,138330759
sha256-fpga,2,6,242236161
sha256-fpga,2,6,276973581
sha256-fpga,2,6,309941218
sha256-fpga,2,6,311515857
sha256-fpga,2,6,346657311
sha256-fpga,2,6,380556909
sha256-fpga,2,6,344052533
sha256-fpga,2,6,447054508
sha256-fpga,2,6,412574755
sha256-fpga,2,6,274700188
sha256-fpga,2,6,413718713
sha256-fpga,2,6,206900185
sha256-fpga,2,6,378070213
sha256-fpga,2,6,519124317
sha256-fpga,2,6,171941089
sha256-fpga,2,7,141522465
sha256-fpga,2,7,281401197
sha256-fpga,2,7,42565051
sha256-fpga,2,7,175696249
sha256-fpga,2,7,210630832
sha256-fpga,2,7,106175029
sha256-fpga,2,7,75612330
sha256-fpga,2,7,211388543
sha256-fpga,2,7,41037606
sha256-fpga,2,7,72725820
sha256-fpga,2,7,107506898
