nodes,FPGA Slots per Node,makespan
1,2,363399.25700000004
10,0,964.7199999999999
10,1,96300.38400000002
10,2,72055.76400000001
10,4,1094.7199999999998
25,0,964.7199999999999
25,1,1094.7199999999998
25,2,1094.7199999999998
25,4,1094.7199999999998
1,0,964.7199999999999
50,0,964.7199999999999
50,1,1094.7199999999998
50,2,1094.7199999999998
50,4,1094.7199999999998
100,0,964.7199999999999
1,1,285875.69200000004
100,1,1094.7199999999998
1,4,327031.819
100,2,1094.7199999999998
100,4,1094.7199999999998
150,0,964.7199999999999
150,2,1094.7199999999998
150,1,1094.7199999999998
150,4,1094.7199999999998
250,0,964.7199999999999
250,1,1094.7199999999998
250,2,1094.7199999999998
250,4,1094.7199999999998
500,0,964.7199999999999
500,1,1094.7199999999998
500,2,1094.7199999999998
500,4,1094.7199999999998
1000,0,964.7199999999999
1000,1,1094.7199999999998
1000,2,1094.7199999999998
1000,4,1094.7199999999998
2500,0,964.7199999999999
2500,1,1094.7199999999998
2500,2,1094.7199999999998
2500,4,1094.7199999999998
5000,0,964.7199999999999
5000,1,1094.7199999999998
5000,2,1094.7199999999998
5000,4,1094.7199999999998
10000,0,964.7199999999999
10000,1,1094.7199999999998
10000,2,1094.7199999999998
10000,4,1094.7199999999998
